Rank;Player;Age;Tm;First;Pts Won;Pts Max;Share;G;MP;PTS;TRB;AST;STL;BLK;FG%;3P%;FT%;WS;WS/48;Year
1;Michael Jordan;27;CHI;77;891;960;928;82;37;31.5;6;5.5;2.7;1;539;312;851;20.3;321;1991
2;Magic Johnson;31;LAL;10;497;960;518;79;37.1;19.4;7;12.5;1.3;0.2;477;0.32;906;15.4;251;1991
3;David Robinson;25;SAS;6;476;960;496;82;37.7;25.6;13;2.5;1.5;3.9;552;143;762;17;264;1991
4;Charles Barkley;27;PHI;2;222;960;231;67;37.3;27.6;10.1;4.2;1.6;0.5;0.57;284;722;13.4;258;1991
5;Karl Malone;27;UTA;0;142;960;148;82;40.3;29;11.8;3.3;1.1;1;527;286;0.77;15.5;225;1991
6;Clyde Drexler;28;POR;1;75;960;78;82;34.8;21.5;6.7;6;1.8;0.7;482;319;794;12.4;209;1991
7;Kevin Johnson;24;PHO;0;32;960;33;77;36;22.2;3.5;10.1;2.1;0.1;516;205;843;12.7;0.22;1991
8;Dominique Wilkins;31;ATL;0;29;960;0.03;81;38;25.9;9;3.3;1.5;0.8;0.47;341;829;11.4;177;1991
9T;Larry Bird;34;BOS;0;25;960;26;60;38;19.4;8.5;7.2;1.8;1;454;389;891;6.6;0.14;1991
9T;Terry Porter;27;POR;0;25;960;26;81;32.9;17;3.5;8;2;0.1;515;415;823;13;235;1991
11;Patrick Ewing;28;NYK;0;20;960;21;81;38.3;26.6;11.2;3;1;3.2;514;0;745;10;155;1991
12;John Stockton;28;UTA;0;15;960;16;82;37.8;17.2;2.9;14.2;2.9;0.2;507;345;836;14;217;1991
13;Isiah Thomas;29;DET;0;11;960;11;48;34.5;16.2;3.3;9.3;1.6;0.2;435;292;782;3.4;98;1991
14;Robert Parish;37;BOS;0;10;960;0.01;81;30.1;14.9;10.6;0.8;0.8;1.3;598;0;767;10;198;1991
15;Joe Dumars;27;DET;0;8;960;8;80;38.1;20.4;2.3;5.5;1.1;0.1;481;311;0.89;9.9;155;1991
16;Bernard King;34;WSB;0;7;960;7;64;37.5;28.4;5;4.6;0.9;0.3;472;216;0.79;3.5;0.07;1991
17;Kenny Smith;25;HOU;0;5;960;5;78;34.6;17.7;2.1;7.1;1.4;0.1;0.52;363;844;9;161;1991
18;Hakeem Olajuwon;28;HOU;0;4;960;4;56;36.8;21.2;13.8;2.3;2.2;3.9;508;0;769;8.6;201;1991
19T;Tim Hardaway;24;GSW;0;1;960;1;82;39.2;22.9;4;9.7;2.6;0.1;476;385;803;9.9;148;1991
19T;Kevin McHale;33;BOS;0;1;960;1;68;30.4;18.4;7.1;1.9;0.4;2.1;553;405;829;7.9;182;1991
1;Michael Jordan;28;CHI;80;900;960;938;80;38.8;30.1;6.4;6.1;2.3;0.9;519;0.27;832;17.7;274;1992
2;Clyde Drexler;29;POR;12;561;960;584;76;36.2;25;6.6;6.7;1.8;0.9;0.47;337;794;12.8;223;1992
3;David Robinson;26;SAS;2;337;960;351;68;37.7;23.2;12.2;2.7;2.3;4.5;551;125;701;13.9;0.26;1992
4;Karl Malone;28;UTA;1;262;960;273;81;37.7;28;11.2;3;1.3;0.6;526;176;778;15.1;237;1992
5;Patrick Ewing;29;NYK;0;100;960;104;82;38.4;24;11.2;1.9;1.1;3;522;167;738;13;198;1992
6;Chris Mullin;28;GSW;0;81;960;84;81;41.3;25.6;5.6;3.5;2.1;0.8;524;366;833;10.8;155;1992
7;Mark Price;27;CLE;0;66;960;69;72;29.7;17.3;2.4;7.4;1.3;0.2;488;387;947;9.1;205;1992
8;Tim Hardaway;25;GSW;0;64;960;67;81;41.1;23.4;3.8;10;2;0.2;461;338;766;9.2;132;1992
9;Scottie Pippen;26;CHI;1;32;960;33;82;38.6;21;7.7;7;1.9;1.1;506;0.2;0.76;12.7;192;1992
10;Dennis Rodman;30;DET;0;26;960;27;82;40.3;9.8;18.7;2.3;0.8;0.9;539;317;0.6;12.6;183;1992
11;Brad Daugherty;26;CLE;0;24;960;25;73;36.2;21.5;10.4;3.6;0.9;1.1;0.57;0;777;11.7;213;1992
12T;Charles Barkley;28;PHI;0;18;960;19;75;38.4;23.1;11.1;4.1;1.8;0.6;552;234;695;12.3;205;1992
12T;John Stockton;29;UTA;0;18;960;19;82;36.6;15.8;3.3;13.7;3;0.3;482;407;842;13.4;215;1992
14;Larry Bird;35;BOS;0;3;960;3;45;36.9;20.2;9.6;6.8;0.9;0.7;466;406;926;5.5;159;1992
15;Kevin Johnson;25;PHO;0;2;960;2;78;37.2;19.7;3.7;10.7;1.5;0.3;479;217;807;10;165;1992
16T;Danny Manning;25;LAC;0;1;960;1;82;35.4;19.3;6.9;3.5;1.6;1.5;542;0;725;9.8;162;1992
16T;Detlef Schrempf;29;IND;0;1;960;1;80;32.6;17.3;9.6;3.9;0.8;0.5;536;324;828;9.8;181;1992
1;Charles Barkley;29;PHO;59;835;980;852;76;37.6;25.6;12.2;5.1;1.6;1;0.52;305;765;14.4;242;1993
2;Hakeem Olajuwon;30;HOU;22;647;980;0.66;82;39.5;26.1;13;3.5;1.8;4.2;529;0;779;15.8;234;1993
3;Michael Jordan;29;CHI;13;565;980;577;78;39.3;32.6;6.7;5.5;2.8;0.8;495;352;837;17.2;0.27;1993
4;Patrick Ewing;30;NYK;4;359;980;366;81;37.1;24.2;12.1;1.9;0.9;2;503;143;719;10.6;0.17;1993
5;Dominique Wilkins;33;ATL;0;54;980;55;71;37.3;29.9;6.8;3.2;1;0.4;468;0.38;828;10.5;191;1993
6;David Robinson;27;SAS;0;33;980;34;82;39.2;23.4;11.7;3.7;1.5;3.2;501;176;732;13.2;197;1993
7;Shaquille O'Neal;20;ORL;0;30;980;31;81;37.9;23.4;13.9;1.9;0.7;3.5;562;0;592;10.4;163;1993
8T;Karl Malone;29;UTA;0;10;980;0.01;82;37.8;27;11.2;3.8;1.5;1;552;0.2;0.74;15.4;238;1993
8T;Mark Price;28;CLE;0;10;980;0.01;75;31.7;18.2;2.7;8;1.2;0.1;484;416;948;9.8;197;1993
10T;Brad Daugherty;27;CLE;0;1;980;1;71;37.9;20.2;10.2;4.4;0.7;0.8;571;0.5;795;12.7;226;1993
10T;Clyde Drexler;30;POR;0;1;980;1;49;34.1;19.9;6.3;5.7;1.9;0.8;429;233;839;6;171;1993
10T;Joe Dumars;29;DET;0;1;980;1;77;40.2;23.5;1.9;4;1;0.1;466;375;864;9.1;141;1993
10T;Shawn Kemp;23;SEA;0;1;980;1;78;33.1;17.8;10.7;2;1.5;1.9;492;0;712;9.1;169;1993
10T;John Stockton;30;UTA;0;1;980;1;82;34.9;15.1;2.9;12;2.4;0.3;486;385;798;10.6;177;1993
1;Hakeem Olajuwon;31;HOU;66;889;1010;0.88;80;41;27.3;11.9;3.6;1.6;3.7;528;421;716;14.3;0.21;1994
2;David Robinson;28;SAS;24;730;1010;723;80;40.5;29.8;10.7;4.8;1.7;3.3;507;345;749;20;296;1994
3;Scottie Pippen;28;CHI;7;390;1010;386;72;38.3;22;8.7;5.6;2.9;0.8;491;0.32;0.66;11.2;194;1994
4;Shaquille O'Neal;21;ORL;3;289;1010;286;81;39.8;29.3;13.2;2.4;0.9;2.9;599;0;554;16.9;252;1994
5;Patrick Ewing;31;NYK;1;255;1010;252;79;37.6;24.5;11.2;2.3;1.1;2.7;496;286;765;13.1;211;1994
6;Gary Payton;25;SEA;0;20;1010;0.02;82;35.1;16.5;3.3;6;2.3;0.2;504;278;595;9.3;155;1994
7T;Shawn Kemp;24;SEA;0;17;1010;17;79;32.9;18.1;10.8;2.6;1.8;2.1;538;0.25;741;11.7;216;1994
7T;Karl Malone;30;UTA;0;17;1010;17;82;40.6;25.2;11.5;4;1.5;1.5;497;0.25;694;13.4;193;1994
9;Mark Price;29;CLE;0;7;1010;7;76;31.4;17.3;3;7.8;1.4;0.1;478;397;888;10;201;1994
10;Charles Barkley;30;PHO;0;5;1010;5;65;35.4;21.6;11.2;4.6;1.6;0.6;495;0.27;704;8.8;185;1994
11T;Mookie Blaylock;26;ATL;0;1;1010;1;81;36;13.8;5.2;9.7;2.6;0.5;411;334;0.73;10.2;168;1994
11T;Kevin Johnson;27;PHO;0;1;1010;1;67;36.6;20;2.5;9.5;1.9;0.1;487;222;819;8.7;0.17;1994
11T;Dennis Rodman;32;SAS;0;1;1010;1;79;37.8;4.7;17.3;2.3;0.7;0.4;534;208;0.52;8.7;0.14;1994
11T;Latrell Sprewell;23;GSW;0;1;1010;1;82;43.1;21;4.9;4.7;2.2;0.9;433;361;774;8;108;1994
11T;John Stockton;31;UTA;0;1;1010;1;82;36.2;15.1;3.1;12.6;2.4;0.3;528;322;805;13.2;214;1994
11T;Dominique Wilkins;34;TOT;0;1;1010;1;74;35.6;26;6.5;2.3;1.2;0.4;0.44;288;847;8.4;153;1994
11T;Kevin Willis;31;ATL;0;1;1010;1;80;35.8;19.1;12;1.9;1;0.5;499;375;713;10.2;0.17;1994
1;David Robinson;29;SAS;73;901;1050;858;81;38;27.6;10.8;2.9;1.7;3.2;0.53;0.3;774;17.5;273;1995
2;Shaquille O'Neal;22;ORL;12;605;1050;576;79;37;29.3;11.4;2.7;0.9;2.4;583;0;533;14;0.23;1995
3;Karl Malone;31;UTA;14;532;1050;507;82;38.1;26.7;10.6;3.5;1.6;1;536;268;742;13.8;212;1995
4;Patrick Ewing;32;NYK;2;230;1050;219;79;37;23.9;11;2.7;0.9;2;503;286;0.75;9.6;157;1995
5;Hakeem Olajuwon;32;HOU;1;147;1050;0.14;72;39.6;27.8;10.8;3.5;1.8;3.4;517;188;756;10.7;181;1995
6;Charles Barkley;31;PHO;1;96;1050;91;68;35;23;11.1;4.1;1.6;0.7;486;338;748;10.6;214;1995
7;Scottie Pippen;29;CHI;1;83;1050;79;79;38.2;21.4;8.1;5.2;2.9;1.1;0.48;345;716;11.8;188;1995
8;John Stockton;32;UTA;1;47;1050;45;82;35;14.7;3.1;12.3;2.4;0.3;542;449;804;13.9;233;1995
9;Gary Payton;26;SEA;0;34;1050;32;82;36.8;20.6;3.4;7.1;2.5;0.2;509;302;716;11.7;187;1995
10;Anfernee Hardaway;23;ORL;0;23;1050;22;77;37.7;20.9;4.4;7.2;1.7;0.3;512;349;769;10.7;177;1995
11;Michael Jordan;31;CHI;0;12;1050;11;17;39.3;26.9;6.9;5.3;1.8;0.8;411;0.5;801;2.3;167;1995
12;Dennis Rodman;33;SAS;0;9;1050;9;49;32;7.1;16.8;2;0.6;0.5;571;0;676;5.8;178;1995
13;Jason Kidd;21;DAL;0;7;1050;7;79;33.8;11.7;5.4;7.7;1.9;0.3;385;272;698;3.7;66;1995
14;Clyde Drexler;32;TOT;0;3;1050;3;76;35.9;21.8;6.3;4.8;1.8;0.6;461;0.36;824;11.7;206;1995
15;Cedric Ceballos;25;LAL;0;1;1050;1;58;35;21.7;8;1.8;1;0.3;509;397;716;5.2;123;1995
1;Michael Jordan;32;CHI;109;1114;1130;986;82;37.7;30.4;6.6;4.3;2.2;0.5;495;427;834;20.4;317;1996
2;David Robinson;30;SAS;0;574;1130;508;82;36.8;25;12.2;3;1.4;3.3;516;333;761;18.3;0.29;1996
3;Anfernee Hardaway;24;ORL;2;360;1130;319;82;36.8;21.7;4.3;7.1;2;0.5;513;314;767;14.4;229;1996
4;Hakeem Olajuwon;33;HOU;1;238;1130;211;72;38.8;26.9;10.9;3.6;1.6;2.9;514;214;724;9.7;166;1996
5;Scottie Pippen;30;CHI;0;226;1130;0.2;77;36.7;19.4;6.4;5.9;1.7;0.7;463;374;679;12.3;209;1996
6;Gary Payton;27;SEA;0;98;1130;87;81;39;19.3;4.2;7.5;2.9;0.2;484;328;748;11.5;174;1996
7;Karl Malone;32;UTA;1;85;1130;75;82;38;25.7;9.8;4.2;1.7;0.7;519;0.4;723;15.1;233;1996
8;Shawn Kemp;26;SEA;0;73;1130;65;79;33.3;19.6;11.4;2.2;1.2;1.6;561;417;742;11.2;205;1996
9T;Grant Hill;23;DET;0;63;1130;56;80;40.8;20.2;9.8;6.9;1.3;0.6;462;192;751;11.7;172;1996
9T;Shaquille O'Neal;23;ORL;0;63;1130;56;54;36;26.6;11;2.9;0.6;2.1;573;0.5;487;6.9;171;1996
11;John Stockton;33;UTA;0;12;1130;11;82;35.5;14.7;2.8;11.2;1.7;0.2;538;422;0.83;13;214;1996
12T;Charles Barkley;32;PHO;0;8;1130;7;71;37.1;23.2;11.6;3.7;1.6;0.8;0.5;0.28;777;10.5;191;1996
12T;Magic Johnson;36;LAL;0;8;1130;7;32;29.9;14.6;5.7;6.9;0.8;0.4;466;379;856;3.6;181;1996
14;Alonzo Mourning;25;MIA;0;6;1130;5;70;38.2;23.2;10.4;2.3;1;2.7;523;0.3;685;9.9;178;1996
15;Dennis Rodman;34;CHI;0;4;1130;4;64;32.6;5.5;14.9;2.5;0.6;0.4;0.48;111;528;6.2;143;1996
16T;Terrell Brandon;25;CLE;0;3;1130;3;75;34.3;19.3;3.3;6.5;1.8;0.4;465;387;887;12.7;237;1996
16T;Mitch Richmond;30;SAC;0;3;1130;3;81;36.4;23.1;3.3;3.1;1.5;0.2;447;437;866;9.3;151;1996
1;Karl Malone;33;UTA;63;986;1150;857;82;36.6;27.4;9.9;4.5;1.4;0.6;0.55;0;755;16.7;268;1997
2;Michael Jordan;33;CHI;52;957;1150;832;82;37.9;29.6;5.9;4.3;1.7;0.5;486;374;833;18.3;283;1997
3;Grant Hill;24;DET;0;376;1150;327;80;39.3;21.4;9;7.3;1.8;0.6;496;303;711;14.6;223;1997
4;Tim Hardaway;30;MIA;0;238;1150;207;81;38.7;20.3;3.4;8.6;1.9;0.1;415;344;799;12.9;198;1997
5;Glen Rice;29;CHH;0;134;1150;117;79;42.6;26.8;4;2;0.9;0.3;477;0.47;867;10.8;154;1997
6;Gary Payton;28;SEA;0;105;1150;91;82;39.2;21.8;4.6;7.1;2.4;0.2;476;313;715;12.9;193;1997
7;Hakeem Olajuwon;34;HOU;0;95;1150;83;78;36.6;23.2;9.2;3;1.5;2.2;0.51;313;787;9.1;154;1997
8;Patrick Ewing;34;NYK;0;57;1150;0.05;78;37;22.4;10.7;2;0.9;2.4;488;222;754;9.8;163;1997
9T;Anthony Mason;30;CHH;0;7;1150;6;73;43.1;16.2;11.4;5.7;1;0.5;525;333;745;11.4;173;1997
9T;Shaquille O'Neal;24;LAL;0;7;1150;6;51;38.1;26.2;12.5;3.1;0.9;2.9;557;0;484;8;197;1997
11;Scottie Pippen;31;CHI;0;6;1150;5;82;37.7;20.2;6.5;5.7;1.9;0.5;474;368;701;13.1;203;1997
12;Alonzo Mourning;26;MIA;0;5;1150;4;66;35.2;19.8;9.9;1.6;0.8;2.9;534;111;642;8.4;174;1997
13T;Dikembe Mutombo;30;ATL;0;4;1150;3;80;37.2;13.3;11.6;1.4;0.6;3.3;527;0;705;11.3;183;1997
13T;Mitch Richmond;31;SAC;0;4;1150;3;81;38.6;25.9;3.9;4.2;1.5;0.3;454;428;861;10.8;166;1997
15;John Stockton;34;UTA;0;3;1150;3;82;35.3;14.4;2.8;10.5;2;0.2;548;422;846;13.6;226;1997
16;Charles Barkley;33;HOU;0;2;1150;2;53;37.9;19.2;13.5;4.7;1.3;0.5;484;283;694;9.4;224;1997
17T;Tom Gugliotta;27;MIN;0;1;1150;1;81;38.7;20.6;8.7;4.1;1.6;1.1;442;258;0.82;6.7;103;1997
17T;Allen Iverson;21;PHI;0;1;1150;1;76;40.1;23.5;4.1;7.5;2.1;0.3;416;341;702;4.1;65;1997
17T;Kevin Johnson;30;PHO;0;1;1150;1;70;38;20.1;3.6;9.3;1.5;0.2;496;441;852;11.7;211;1997
17T;Steve Smith;27;ATL;0;1;1150;1;72;39.1;20.1;3.3;4.2;0.9;0.3;429;335;847;9.1;154;1997
1;Michael Jordan;34;CHI;92;1084;1160;934;82;38.8;28.7;5.8;3.5;1.7;0.5;465;238;784;15.8;238;1998
2;Karl Malone;34;UTA;20;842;1160;726;81;37.4;27;10.3;3.9;1.2;0.9;0.53;333;761;16.4;259;1998
3;Gary Payton;29;SEA;3;431;1160;372;82;38.4;19.2;4.6;8.3;2.3;0.2;453;338;744;12.5;0.19;1998
4;Shaquille O'Neal;25;LAL;1;311;1160;268;60;36.3;28.3;11.4;2.4;0.7;2.4;584;0;527;10.2;224;1998
5;Tim Duncan;21;SAS;0;148;1160;128;82;39.1;21.1;11.9;2.7;0.7;2.5;549;0;662;12.8;192;1998
6;Tim Hardaway;31;MIA;0;71;1160;61;81;37.4;18.9;3.7;8.3;1.7;0.2;431;351;781;11.7;185;1998
7;David Robinson;32;SAS;0;36;1160;31;73;33.7;21.6;10.6;2.7;0.9;2.6;511;0.25;735;13.8;269;1998
8;Vin Baker;26;SEA;0;24;1160;21;82;35.9;19.2;8;1.9;1.1;1;542;143;591;10.4;169;1998
9;Grant Hill;25;DET;0;23;1160;0.02;81;40.7;21.1;7.7;6.8;1.8;0.7;452;143;0.74;10.2;149;1998
10;Scottie Pippen;32;CHI;0;14;1160;12;44;37.5;19.1;5.2;5.8;1.8;1;447;318;777;6.6;193;1998
11;Glen Rice;30;CHH;0;7;1160;6;82;40.2;22.3;4.3;2.2;0.9;0.3;457;433;849;9.3;136;1998
12;Antoine Walker;21;BOS;0;6;1160;5;82;39.9;22.4;10.2;3.3;1.7;0.7;423;312;645;4.7;0.07;1998
13T;Jason Kidd;24;PHO;0;5;1160;4;82;38;11.6;6.2;9.1;2;0.3;416;313;799;8;123;1998
13T;John Stockton;35;UTA;0;5;1160;4;64;29;12;2.6;8.5;1.4;0.2;528;429;827;8;206;1998
15;Mitch Richmond;32;SAC;0;3;1160;3;70;36.7;23.2;3.3;4;1.3;0.2;445;389;864;7.9;148;1998
16T;Reggie Miller;32;IND;0;2;1160;2;81;34.5;19.5;2.9;2.1;1;0.1;477;429;868;12;206;1998
16T;Rik Smits;31;IND;0;2;1160;2;73;28.6;16.7;6.9;1.4;0.5;1.2;495;0;783;6.1;141;1998
18T;Michael Finley;24;DAL;0;1;1160;1;82;41.4;21.5;5.3;4.9;1.6;0.4;449;357;784;7.5;106;1998
18T;Rod Strickland;31;WAS;0;1;1160;1;76;39.7;17.8;5.3;10.5;1.7;0.3;434;0.25;726;8.1;129;1998
1;Karl Malone;35;UTA;44;827;1180;701;49;37.4;23.8;9.4;4.1;1.3;0.6;493;0;788;9.6;252;1999
2;Alonzo Mourning;28;MIA;36;773;1180;655;46;38.1;20.1;11;1.6;0.7;3.9;511;0;652;7.9;216;1999
3;Tim Duncan;22;SAS;30;740;1180;627;50;39.3;21.7;11.4;2.4;0.9;2.5;495;143;0.69;8.7;213;1999
4;Allen Iverson;23;PHI;5;319;1180;0.27;48;41.5;26.8;4.9;4.6;2.3;0.1;412;291;751;7.2;173;1999
5;Jason Kidd;25;PHO;2;159;1180;135;50;41.2;16.9;6.8;10.8;2.3;0.4;444;366;757;8.1;188;1999
6;Shaquille O'Neal;26;LAL;1;89;1180;75;49;34.8;26.3;10.7;2.3;0.7;1.7;576;0;0.54;9;255;1999
7;Chris Webber;25;SAC;0;51;1180;43;42;40.9;20;13;4.1;1.4;2.1;486;118;454;3.6;102;1999
8;Grant Hill;26;DET;0;39;1180;33;50;37;21.1;7.1;6;1.6;0.5;479;0;752;7.3;189;1999
9;Gary Payton;30;SEA;0;35;1180;0.03;50;40.2;21.7;4.9;8.7;2.2;0.2;434;295;721;7.2;172;1999
10;Kevin Garnett;22;MIN;0;9;1180;8;47;37.9;20.8;10.4;4.3;1.7;1.8;0.46;286;704;5.4;146;1999
11;Shawn Kemp;29;CLE;0;7;1180;6;42;35.1;20.5;9.2;2.4;1.1;1.1;482;0.5;789;6.3;205;1999
12;David Robinson;33;SAS;0;6;1180;5;49;31.7;15.8;10;2.1;1.4;2.4;509;0;658;8.4;261;1999
13T;Hakeem Olajuwon;36;HOU;0;3;1180;3;50;35.7;18.9;9.6;1.8;1.6;2.5;514;308;717;6.5;175;1999
13T;Arvydas Sabonis;34;POR;0;3;1180;3;50;27;12.1;7.9;2.4;0.7;1.3;485;292;771;5.8;207;1999
15;Darrell Armstrong;30;ORL;0;2;1180;2;50;30;13.8;3.6;6.7;2.2;0.1;441;365;904;6.4;205;1999
16T;Vince Carter;22;TOR;0;1;1180;1;50;35.2;18.3;5.7;3;1.1;1.5;0.45;288;761;5;136;1999
16T;Anfernee Hardaway;27;ORL;0;1;1180;1;50;38.9;15.8;5.7;5.3;2.2;0.5;0.42;286;706;5;122;1999
16T;Mark Jackson;33;IND;0;1;1180;1;49;28.2;7.6;3.8;7.9;0.9;0.1;419;311;823;3.8;134;1999
